timestamp,open,close,high,low,volume,amount,hour_of_day,price_change,price_change_pct,volume_change,volume_change_pct,close_pc,close_cpc,cma,sma5,sma8,sma13,sma20,sma50,sma200,ema8,ema12,ema26,goldencross,deathcross,bb20_upper,bb20_mid,bb20_lower,fbb_mid,fbb_upper0_236,fbb_upper0_382,fbb_upper0_5,fbb_upper0_618,fbb_upper0_786,fbb_upper1,fbb_lower0_236,fbb_lower0_382,fbb_lower0_5,fbb_lower0_618,fbb_lower0_786,fbb_lower1,rolling_mean,rolling_std,support,resistance,rsi14,stochrsi14k,stochrsi14d,williamsr14,macd,signal,obv,obv_pc,elder_ray_bull,elder_ray_bear,eri_buy,eri_sell,ema8gtema12,ema8gtema12co,ema8ltema12,ema8ltema12co,ema12gtema26,ema12gtema26co,ema12ltema26,ema12ltema26co,sma5gtsma8,sma5gtsma8co,sma5ltsma8,sma5ltsma8co,sma8gtsma13,sma8gtsma13co,sma8ltsma13,sma8ltsma13co,sma50gtsma200,sma50gtsma200co,sma50ltsma200,sma50ltsma200co,macdgtsignal,macdgtsignalco,macdltsignal,macdltsignalco,-di14,+di14,adx14,adx14_trend,adx14_strength,closegtbb20_upper,closegtbb20_upperco,closeltbb20_mid,closeltbb20_midco,closeltbb20_lower,closeltbb20_lowerco,closegtbb20_mid,closegtbb20_midco
2024-02-10 20:25:00,47618.9,47594.1,47621.8,47573.5,6.3353754,301574.612237776,20,-21.80000000000291,-0.0004578302625804,1.22485337,0.2396728480593204,0.0,0.0,47594.1,47594.1,47594.1,47594.1,47594.1,47594.1,47594.1,47594.1,47594.1,47594.1,False,False,47594.1,47594.1,47594.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47594.1,0.0,0.0,6.3353754,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 20:20:00,47588.0,47619.0,47619.0,47560.1,7.73657794,368076.02056706,20,24.90000000000145,0.0005231740909062,1.40120254,0.2211711937385746,0.0005231740909061866,0.0005231740909061866,47606.55,47619.0,47619.0,47619.0,47619.0,47619.0,47619.0,47619.0,47619.0,47619.0,False,False,47619.0,47619.0,47619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47619.0,0.0,0.0,14.07195334,122.12,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 20:15:00,47510.0,47590.0,47599.9,47492.0,11.14048793,529699.223143775,20,-29.0,-0.0006090006090006,3.4039099900000007,0.4399761776328722,-0.0006090006090005984,-8.614513143434532e-05,47601.03333333333,47590.0,47590.0,47590.0,47590.0,47590.0,47590.0,47590.0,47590.0,47590.0,False,False,47590.0,47590.0,47590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47590.0,0.0,0.0,2.9314654099999995,-79.17,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 20:10:00,47475.9,47510.2,47528.2,47475.9,13.4930982,641073.517900736,20,-79.80000000000291,-0.0016768228619458,2.35261027,0.2111765916163062,-0.0016768228619458148,-0.0017628235432542994,47578.325,47510.2,47510.2,47510.2,47510.2,47510.2,47510.2,47510.2,47510.2,47510.2,False,False,47510.2,47510.2,47510.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47510.2,0.0,0.0,-10.56163279,-460.29,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 20:05:00,47507.9,47471.9,47508.0,47457.0,13.01724253,618049.174745748,20,-38.299999999995634,-0.00080614268094,-0.4758556699999996,-0.0352665980004503,-0.0008061426809400363,-0.0025675451368971647,47557.04,47557.04,47471.9,47471.9,47471.9,47471.9,47471.9,47471.9,47471.9,47471.9,False,False,47471.9,47471.9,47471.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47471.9,0.0,0.0,-23.57887532,123.25,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 20:00:00,47526.1,47507.9,47535.9,47484.4,5.65712237,268767.879719591,20,36.0,0.0007583433568068,-7.360120160000001,-0.5654131543633458,0.000758343356806801,-0.0018111488608881787,47548.85,47539.8,47507.9,47507.9,47507.9,47507.9,47507.9,47507.9,47507.9,47507.9,False,False,47507.9,47507.9,47507.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47507.9,0.0,0.0,-17.921752950000002,-23.99,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 19:55:00,47560.0,47531.2,47584.1,47504.6,19.44283354,924448.505963225,19,23.299999999995634,0.000490444747084,13.78571117,2.4368769611748737,0.0004904447470841511,-0.0013215923822490483,47546.32857142857,47522.24,47531.2,47531.2,47531.2,47531.2,47531.2,47531.2,47531.2,47531.2,False,False,47531.2,47531.2,47531.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47531.2,0.0,0.0,1.5210805899999968,-108.49,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 19:50:00,47584.6,47562.1,47584.6,47536.1,15.17161619,721531.318353501,19,30.90000000000145,0.0006500993031945,-4.271217349999999,-0.2196808063604909,0.0006500993031945956,-0.0006723522453412345,47548.3,47516.659999999996,47548.3,47562.1,47562.1,47562.1,47562.1,47548.299999999996,47562.1,47562.1,False,False,47562.1,47562.1,47562.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47562.1,0.0,0.0,16.69269678,997.42,0.0,0.0,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 19:45:00,47632.3,47584.6,47660.0,47552.2,19.49137372,927810.577587178,19,22.5,0.0004730657393176,4.319757529999999,0.2847262596088649,0.0004730657393177129,-0.00019960457283552113,47552.333333333336,47531.54,47547.1125,47584.6,47584.6,47584.6,47584.6,47556.36666666667,47584.6,47584.6,False,False,47584.6,47584.6,47584.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47584.6,0.0,0.0,36.1840705,116.77,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 19:40:00,47606.2,47635.9,47649.6,47587.6,24.92879609,1187190.155593662,19,51.30000000000291,0.0010780798829874,5.43742237,0.2789655797539138,0.0010780798829874705,0.0008782601204773144,47560.69,47564.34,47549.225000000006,47635.9,47635.9,47635.9,47635.9,47574.04074074075,47635.9,47635.9,False,False,47635.9,47635.9,47635.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47635.9,0.0,0.0,61.112866589999996,68.89,0.0,0.0,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 19:35:00,47557.1,47611.5,47619.9,47512.0,26.63362267,1267157.407692628,19,-24.40000000000145,-0.0005122187257929,1.7048265800000024,0.0683878424712167,-0.00051221872579299,0.0003655915334044302,47565.30909090909,47585.06,47551.912500000006,47611.5,47611.5,47611.5,47611.5,47582.36502057614,47611.5,47611.5,False,False,47611.5,47611.5,47611.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47611.5,0.0,0.0,34.479243919999995,-43.58,0.0,0.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 19:30:00,47487.9,47557.1,47557.1,47487.9,8.57051229,407292.002791495,19,-54.400000000001455,-0.0011425810991042,-18.06311038,-0.6782070394181191,-0.0011425810991042562,-0.0007774072836759238,47564.625,47590.240000000005,47557.775,47557.1,47557.1,47557.1,47557.1,47576.75057155921,47564.625,47557.1,False,False,47557.1,47557.1,47557.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47557.1,0.0,0.0,25.908731629999995,-24.86,0.0,0.0,False,False,True,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 19:25:00,47474.1,47487.9,47524.0,47442.6,13.34545831,633550.530280746,19,-69.19999999999709,-0.001455092930393,4.77494602,0.557136593289921,-0.0014550929303931426,-0.002231369014226603,47558.72307692308,47575.4,47559.774999999994,47558.72307692308,47487.9,47487.9,47487.9,47557.00600010161,47552.821153846155,47487.9,False,False,47487.9,47487.9,47487.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,47487.9,0.0,0.0,12.563273319999995,-51.51,-34.72307692308095,-116.12307692308241,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,19.282119623120927,17.155294304838804,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 19:20:00,47417.0,47474.0,47534.2,47414.0,29.01331729,1377807.647537403,19,-13.900000000001455,-0.0002927061419856,15.66785898,1.1740217994806357,-0.0002927061419856214,-0.002523422020796695,47552.67142857143,47553.28,47555.537500000006,47549.484615384616,47474.0,47474.0,47474.0,47538.560222301254,47540.69482248521,47474.0,False,False,47474.0,47474.0,47474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,50.0,-75.60975609756098,0.0,0.0,-16.450043970000003,-230.94,-12.419780219788663,-132.61978021978575,True,True,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,23.14504547630431,12.127014520504215,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
2024-02-10 19:15:00,47361.9,47413.4,47420.0,47361.9,16.03151493,759897.03985168,19,-60.59999999999855,-0.0012764881830054,-12.98180236,-0.4474428839088465,-0.0012764881830054087,-0.003796689085411864,47543.38666666667,47508.78,47540.8125,47533.669230769236,47413.4,47413.4,47413.4,47510.74683956764,47521.11100364133,47413.4,False,False,47413.4,47413.4,47413.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,29.527965649782505,50.0,50.0,-82.72391814827232,0.0,0.0,-32.4815589,97.46,-107.58838304553501,-165.68838304553356,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,25.979350136653345,11.539629517157632,29.328369827402124,bear,strong,False,False,False,False,False,False,False,False
